machine,product,year,candidates
f63,f63,,"563286=F63 | FG, SOLE F63 Treadmill | FP=None ; 563812=SOLE F63 2013 | FG, TREADMILL SOLE AF63 | FP=2012 ; 563814=SOLE F63 2015 | FG, TREADMILL SOLE F63 | FP=2012 ; 563816=SOLE F63 2016 | FG, TREADMILL SOLE F63 | FP=2015 ; 563818=Sole F63 2019 | Treadmill Sole F63 2019 | FP=2019 ; 563822=F63 | FG, SOLE F63 TREADMILL | FP=None ; 563825=SOLE F63 | FG, TREADMILL SOLE F63 | FP=None ; 563826=F63 | SOLE, F63 Treadmill | FP=None"
f85-2021,f85,2021,"585003=SOLE F85 | FG, TREADMILL SOLE F85 | FP=2003 ; 585286=F85 | SOLE, F85 Treadmill | FP=None ; 585812=SOLE F85 2013 | FG, SOLE,  TREADMILL F85 2013 | FP=2012 ; 585816=SOLE F85 2016 | FG, SOLE,  TREADMILL F85 2016 | FP=2015 ; 585818=Sole F85 2019 | Treadmill Sole F85 2019 | FP=2019 ; 585820=Sole F85 2020 | Treadmill Sole F85 2020 | FP=None ; 585822=Sole F85 | FG, SOLE F85 Treadmill | FP=None ; 585829=F85 | FG, Sole F85 Treadmill | FP=None ; 585881=SOLE F85 | FG, TREADMILL SOLE F85 | FP=2004"
f89-2023,f89,2023,"589826=F89 Treadmill | SOLE, F89 Treadmill | FP=None ; 589853=F89 | FG, Sole F89 Treadmill | FP=None"
ms300-2021,ms300,2021,730030=Spirit MS300 (White) | Stepper Spirit MS300 (White) | FP=None ; 730037=Spirit MS300 | Stepper Spirit MS300 | FP=2014
mt200-2010,mt200,2010,720080=Spirit MT200 (White) | Treadmill Spirit MT200 (White) | FP=None ; 720087=Spirit MT200 | Treadmill Spirit MT200 | FP=2014
mt200-2022,mt200,2022,720080=Spirit MT200 (White) | Treadmill Spirit MT200 (White) | FP=None ; 720087=Spirit MT200 | Treadmill Spirit MT200 | FP=2014
sc200-2019,sc200,2019,"520516=SOLE SC200 | FG, SOLE,  STEPPER SC200 | FP=2015 ; 520517=SC200 | FG, SOLE,  Elliptical | FP=2017"
sr500-2016,sr500,2016,500911=SR500 | Sole SR500 Rower | FP=None ; 500918=Sole SR500 2019 | Rower Sole SR500 2019 | FP=2019
srvo,srvo,,
st90,st90,,"590820=Sole ST90 Slat Belt | Treadmill Sole ST90 Slat Belt | FP=None ; 590822=ST90 | FG, Sole ST90 Slat Treadmill | FP=None"
st90-2021,st90,2021,"590820=Sole ST90 Slat Belt | Treadmill Sole ST90 Slat Belt | FP=None ; 590822=ST90 | FG, Sole ST90 Slat Treadmill | FP=None"
xbr25-2019,xbr25,2019,"251110=XBR25 2011 | FG, SPIRIT,   XBR25 - 2011 BIKE | FP=2010 ; 251111=XBR25 2012 | FG, SPIRIT,   XBR25 - 2012 BIKE | FP=2010 ; 251112=XBR25 2013 | FG, SPIRIT,   XBR25 - 2013 BIKE | FP=2012 ; 251115=Spirit XBR25 2016 | Bike Spirit XBR25 2016 | FP=2016 ; 251117=XBR25 | FG, SPIRIT,   XBR25 BIKE | FP=2007 ; 251123=XBR25 | FG, Bike XBR25 | FP=None ; 251223=XBR25 | FG, Bike XBR25 | FP=None"
xe195-2021,xe195,2021,"195009=XE195 | FG, SPIRIT,  XE195  ELLIPTICAL | FP=2009 ; 195010=XE195 2011 | FG, SPIRIT,  XE195 2011  ELLIPTICAL | FP=2010 ; 195011=XE195 2012 | FG, SPIRIT,  XE195 2012  ELLIPTICAL | FP=2010 ; 195012=XE195 2013 | FG, XTERRA,  XE195 2013  ELLIPTICAL | FP=2012 ; 195014=XE195 2015 | FG, XTERRA,  XE195 2015  ELLIPTICAL | FP=2015 ; 195015=Spirit XE195 2016 | Elliptical Spirit XE195 2016 | FP=2016 ; 195023=XE195 | FG, SPIRIT XE195 Elliptical | FP=None"
xe295-2021,xe295,2021,"295009=XE295 | FG, SPIRIT,   ELLIPTICAL | FP=2000 ; 295010=XE295 - 2011 | FG, SPIRIT,   XE295 - 2011  ELLIPTICAL | FP=2010 ; 295012=XE295 - 2013 | FG, SPIRIT,   XE295 - 2013  ELLIPTICAL | FP=2012 ; 295014=XE295 - 2015 | FG, SPIRIT,   XE295 - 2015  ELLIPTICAL | FP=2014 ; 295015=Spirit XE295 2016 | Elliptical Spirit XE295 2016 | FP=2016 ; 295023=XE295 | SPIRIT, ELIPTICAL XE295 | FP=None ; 295913=XE295 - 2014 BASE | FG, SPIRIT,   XE295 - 2014 BASE  ELLIPTICAL | FP=2015"
xe395-2018,xe395,2018,"395010=XE395-2011 | FG, SPIRIT,  XE395 - 2011  ELLIPTICAL | FP=2010 ; 395012=XE395-2013 | FG, SPIRIT,  XE395 - 2013  ELLIPTICAL | FP=2012 ; 395014=XE395-2015 | FG, SPIRIT,  XE395 - 2013  ELLIPTICAL | FP=2015 ; 395015=Spirit XE395 2016 | Elliptical Spirit XE395 2016 | FP=2016 ; 395023=XE395 | FG, SPIRIT XE395 Elliptical | FP=None ; 395913=XE395-2014 - BASE | FG, SPIRIT,  XE395 - 2014 BASE  ELLIPTICAL | FP=2015"
xe395ent-2021,xe395ent,2021,"395050=XE395ENT | FG, SPIRIT,   XE395ENT  ELLIPTICAL | FP=None ; 395523=XE395ENT | FG, SPIRIT XE395ENT Elliptical | FP=None"
xe795-2021,xe795,2021,"795013=XE795 | FG, ELLIPTICAL XE795 2014 | FP=2014 ; 795015=Spirit XE795 2016 | Elliptical Spirit XE795 2016 | FP=2016 ; 795023=XE795 | FG, Elliptical Spirit XE795 | FP=None"
xe895-2018,xe895,2018,"895014=XE895 | FG, ELLIPTICAL XE895 2014 | FP=2014 ; 895015=XE895 | FG, SPIRIT,   XE895   ELLIPTICAL | FP=2016"
xg400-2021,xg400,2021,"400410=XG400 | FG, SPIRIT,  XG400  ELLIPTICAL | FP=2010 ; 400414=XG400 | FG, SPIRIT,  XG400  ELLIPTICAL | FP=2014 ; 400415=Spirit XG400 2016 | Elliptical Spirit XG400 2016 | FP=2016 ; 400913=XG400 BASE | FG, SPIRIT, XG400 BASE  ELLIPTICAL | FP=2014"
xt685-2010,xt685,2010,"685523=XT685 ENT | FG, Spirit XT685 ENT Treadmill | FP=None ; 685810=XT685 | FG, SPIRIT,   XT685 TREADMILL | FP=None ; 685812=XT685-2013 | FG, SPIRIT,   XT685 TREADMILL | FP=2012 ; 685815=Spirit XT685 2016 | Treadmill Spirit XT685 2016 | FP=2016 ; 685823=XT685 | FG, Spirit XT685 Treadmill | FP=None"
xth-rails,xth-rails,,
